From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
2830;2831;river_large;1052;1958;3466;-1;-1;Danzig-Wislana
4921;3198;river_large;1053;-1;-1;-1;-1;Bydgoszcz-Chelmno(Kulm)
4919;4922;river_large;1053;-1;-1;-1;-1;Wloclawek-Dobrzyn
4940;529;river_large;1053;-1;-1;-1;-1;Gostynin-Plock
530;4939;river_large;1055;-1;-1;-1;-1;Czersk-Garwolin
#WALLACHIA
4997;508;river_large;1059;-1;-1;-1;-1;Calarasi-Silistra
514;507;river_large;1060;-1;-1;-1;-1;Turnu-Nikopolis
516;3667;river_large;1061;-1;-1;-1;-1;Severin-Klodovo
#BULGARIA
3694;5010;river_large;1058;2554;2260;-1;-1;Tulcha-Sulina
# HUNGARY
3803;522;river_large;1066;-1;-1;-1;-1;Visegrad-Pest
3805;3807;river_large;1066;-1;-1;-1;-1;Szekesfehevar-Kalocsa
3808;3976;river_large;1066;1977;-1;-1;-1;Esztergom-Bény
3809;3916;river_large;1067;1958;2957;-1;-1;Komárom-Bátorkeszi
3610;518;river_large;8560;-1;-1;-1;-1;Vakovo-Bacs
#GREECE
472;3710;sea;1038;2109;2341;2101;2337;Buthrothum-Corfu
3701;474;sea;1037;2145;2266;2145;2255;Vonitsa-Cephalonia
474;3696;sea;1037;2145;2229;2151;2217;Cephalonia-Zakynthos
3727;3726;sea;942;2293;2290;2285;2286;Boudounitsa-Oreoi
485;3730;sea;942;2329;2260;2336;2262;Chalkis-Thebes
3755;3756;sea;942;2407;2215;2404;2219;Andros-Tinos
484;3756;sea;942;2430;2181;2424;2195;Naxos-Tinos
484;3757;sea;1017;2433;2132;2435;2157;Naxos-Thera
488;3725;sea;8666;2303;2327;2324;2319;Demetrias-Skopelos
3726;3725;sea;942;2315;2301;2325;2310;Oreoi-Skopelos
3740;3741;sea;936;2556;2120;2525;2156;Kos-Lindos
3741;3742;sea;8661;2556;2101;2531;2079;Lindos-Karpathos
3751;487;sea;1111;2466;2348;2463;2343;Alexandria Troas-Mytilene
3767;3769;sea;8665;2365;2445;2366;2439;Alexandria Xanthia-Thasos
495;3749;sea;947;2486;2424;2492;2420;Kalliopolis-Lampsakos
496;5565;sea;947;2594;2468;2602;2466;Constantinople-Chalcedon
#BALKANS
464;459;sea;8650;1782;2741;1787;2743;Senj-Krk
459;2521;sea;8650;1775;2734;1766;2727;Krk-Cres
3555;3556;sea;1109;1913;2598;1922;2602;Mokro-Hvar
3556;3569;sea;1109;1930;2578;1942;2578;Hvar-Ston
#RUSSIA
169;170;river_large;1006;2354;3837;-1;-1;Nyen-Pähkinälinna
552;5116;river_large;1079;2350;3294;-1;-1;Turov-Mikashevichy
5095;5122;river_large;1083;-1;-1;-1;-1;Chornobyl-Rechytsa
5135;5134;river_large;1082;-1;-1;-1;-1;Haradok-Vitebsk
5129;5131;river_large;3242;-1;-1;-1;-1;Polotsk-Myory
5138;5154;river_large;1085;-1;-1;-1;-1;Ladoga-Kirishi
5137;5254;river_large;8569;-1;-1;-1;-1;Novgorod-Svolensk
5143;5162;river_large;8570;-1;-1;-1;-1;Rusa-Kholm
5161;5151;river_large;1087;-1;-1;-1;-1;Luki-Nevel
5160;193;river_large;8571;-1;-1;-1;-1;Podporozhye-Aunus
5171;5164;river_large;1106;-1;-1;-1;-1;Andreapol-Torzhok
5173;5164;river_large;8578;-1;-1;-1;-1;Tver-Torzhok
5173;5175;river_large;8578;-1;-1;-1;-1;Tver-Kashin
572;5176;river_large;1105;-1;-1;-1;-1;Yaroslavl-Mologa
5247;5251;river_large;8580;-1;-1;-1;-1;Plyos-Kostroma
584;585;river_large;1098;-1;-1;-1;-1;NizhnyNovgorod-Gorodets
584;5235;river_large;8574;-1;-1;-1;-1;NizhnyNovgorod-Pavlovo
5253;580;river_large;1102;-1;-1;-1;-1;VaskinaPolyana-Ryazan
5253;5228;river_large;1099;-1;-1;-1;-1;VaskinaPolyana-PereyaslavlRyazanski
5238;5228;river_large;1099;-1;-1;-1;-1;Yegoryevsk-PereyaslavlRyazanski
587;5218;river_large;1104;-1;-1;-1;-1;Mozhaysk-Suvorov
5204;5208;river_large;1074;-1;-1;-1;-1;Trubetsk-Lokot
5221;568;river_large;1078;-1;-1;-1;-1;Gnezdovo-Smolensk
5119;5225;river_large;8565;2450;3371;-1;-1;Babruysk-Cherykaw
5201;554;river_large;1073;2510;3230;-1;-1;Unenezh-Chernigov
5122;554;river_large;1077;2492;3240;-1;-1;Rechytsa-Chernigov
547;554;river_large;8564;2499;3188;-1;-1;Kiev-Chernigov
547;555;river_large;1072;-1;-1;-1;-1;Kiev-Pereyaslavl
#BJARMALAND
5156;5816;river_large;1101;-1;-1;-1;-1;Beloozero-Ostrov
5157;5824;river_large;8579;-1;-1;-1;-1;Cherepovets-Vologda
572;5828;river_large;1098;-1;-1;-1;-1;Yaroslavl-Vyatskoye
5798;5799;river_large;5855;-1;-1;-1;-1;Kholmogory-Arkhangelsk
5840;5841;river_large;5857;-1;-1;-1;-1;Kotlas-Usyorga
#PONTIC STEPPE
5268;512;river_large;1056;-1;-1;-1;-1;Odessa-Cetatea Alba
5257;5021;river_large;1057;-1;-1;-1;-1;Ladyzyn-Soroca
5263;5189;river_large;1071;-1;-1;-1;-1;Cherkassy-Voin
5274;557;river_large;8563;-1;-1;-1;-1;Dnipro-Khortytsia
5269;558;river_large;1070;-1;-1;-1;-1;Kherson-Oleshye
562;598;sea;8670;2920;2804;2932;2804;Kerch-Tmutarkan (Kerch strait)
5291;595;river_large;8584;-1;-1;-1;-1;Siyahtepe-Sarysyn
5290;607;river_large;9663;-1;-1;-1;-1;Golden Hills-Sarkel
596;597;river_large;8585;-1;-1;-1;-1;Tana-Azov
604;620;river_large;1092;-1;-1;-1;-1;Khazaran-Itil
595;619;river_large;1093;-1;-1;-1;-1;Sarysyn-Saray
#VOLGA BULGARIA
588;590;river_large;1097;-1;-1;-1;-1;Yoshkar-Ola-Cheboksary
614;611;river_large;8581;-1;-1;-1;-1;Ashli-Kazan
614;610;river_large;1096;-1;-1;-1;-1;Ashli-Bolghar
5411;609;river_large;8582;-1;-1;-1;-1;Banja-Sumar
592;5347;river_large;1103;-1;-1;-1;-1;Saratov-Engels
593;5287;river_large;1090;-1;-1;-1;-1;Khopyor-Kazanskaya
610;5397;river_large;8577;-1;-1;-1;-1;Bolghar-Kashan
5408;5403;river_large;5510;-1;-1;-1;-1;Yar Calli-Elabuga
886;5450;river_large;5511;-1;-1;-1;-1;Perm-Nytva
#CANARIAS
849;8713;sea;8622;158;1726;136;1740;GranCanaria-Tenerife
849;8714;sea;8622;180;1721;219;1719;GranCanaria-Fuerteventura
8714;8715;sea;8622;246;1756;250;1760;Fuerteventura-Lanzarote
#EGYPT
6043;6047;river_large;6026;-1;-1;-1;-1;Daqahla-Samannud
6042;6057;river_large;6028;-1;-1;-1;-1;Cairo-Gizeh
6049;6054;river_large;6027;-1;-1;-1;-1;Nastarawa-Damanhur
6063;6064;river_large;6028;-1;-1;-1;-1;Al-Bahnasa-Ihrit
6067;6068;river_large;6029;-1;-1;-1;-1;Al-Ushmunain-Ansina
6070;6071;river_large;6029;-1;-1;-1;-1;Asyut-Bawit
6077;6078;river_large;6125;-1;-1;-1;-1;Qus-Armant
#SUB-SAHARAN AFRICA
8115;8087;river_large;8092;1533;571;-1;-1;Bonny-Nembe
8086;8111;river_large;8093;1534;632;-1;-1;Ode Itseriki-Onitsha
8085;6548;river_large;8094;1491;772;-1;-1;Kyadya-Bida
6553;6915;river_large;6796;1393;891;-1;-1;Yauri-Kaoje
6570;6714;river_large;6796;1285;965;-1;-1;Rozi-Pekinga
6577;6579;river_large;6794;1088;1149;-1;-1;Gao-Koima
6608;6670;river_large;6793;921;1158;-1;-1;Kabara-Bangu
6620;6647;river_large;6791;821;1050;-1;-1;Mara-Kaniana
#MESOPOTAMIA
4822;4823;river_large;6127;3464;2011;-1;-1;Kaskar-An-Numaniya
4797;4824;river_large;6126;3423;2038;-1;-1;Iskaf-Humaniya
6008;6021;river_large;6128;3530;1944;-1;-1;Nahr Simmara-Matara Iraq
#ARABIA
6157;6156;sea;1394;3677;1704;3686;1704;Al-Khatt-Uwal
6150;6156;sea;1394;3696;1698;3709;1690;Murwab-Uwal
4186;4187;sea;1393;3959;1778;3949;1768;Shahru-Laft (Strait of Hormuz)
6132;4187;sea;1393;3962;1734;3949;1751;Musandam-Laft (Strait of Hormuz)
6282;8340;sea;1385;3386;1026;3374;1023;Al-Mandab-Assab
6282;8341;sea;1385;3398;1019;3386;1004;Al-Mandab-Awbuk
8286;8280;sea;8673;3216;1153;3215;1147;Buri-Dahlak Kebir
#INDIA
1295;3355;sea;1397;4699;1655;4704;1650;Kanthakota-Morvi
1297;3400;river_large;8681;4546;1718;-1;-1;Debul-Sauvira
1138;1175;river_large;1308;4568;1885;-1;-1;Bhakkar-Aror
1339;3408;river_large;1309;4637;1964;-1;-1;Rajanpur-Chachran
1340;3417;river_large;8588;4640;2062;-1;-1;Karor-Dera Ghazi Khan
1178;3410;river_large;8590;4715;2012;-1;-1;Karur-Askhanda
3421;3423;river_large;8591;4786;2067;-1;-1;Pancapura-Abohar
1127;3383;river_large;8593;-1;-1;-1;-1;Akruresvara-Navasarika
1262;1194;river_large;8594;-1;-1;-1;-1;Thalner-Sindkheda
7910;7913;river_large;8598;-1;-1;-1;-1;Palwancha-Bhadracala
1123;7916;river_large;8597;-1;-1;-1;-1;Vengipura-Draksharama
7836;1201;river_large;8596;-1;-1;-1;-1;Kannanur-Karavur
7836;7807;river_large;8595;-1;-1;-1;-1;Kannanur-Uraiyur
7836;1115;river_large;8595;-1;-1;-1;-1;Kannanur-Tanjavur
7838;1115;river_large;8595;-1;-1;-1;-1;Nagapattinam-Tanjavur
1319;1240;river_large;1311;5680;1808;-1;-1;Bikrampur-Fathabad
1323;856;river_large;456;5591;1787;-1;-1;Nabadwipa-Santipura
1243;842;river_large;456;5583;1824;-1;-1;Karnasubarna-Raktamrittika
1243;839;river_large;1312;5606;1833;-1;-1;Karnasubarna-Rampur Boalia
1325;848;river_large;1316;5648;1863;-1;-1;Madhupur-Somapur
1321;815;river_large;8603;5755;1975;-1;-1;Kamarupanagara-Pragyotisapura
1418;813;river_large;8604;5809;1996;-1;-1;Haruppeswara-Numaligarh
837;843;river_large;1313;-1;-1;-1;-1;Gaur-Agmahl
1154;879;river_large;1315;-1;-1;-1;-1;Pataliputra-Hajipur
1163;1281;river_large;8602;-1;-1;-1;-1;Varanasi-Chunar
927;931;river_large;8600;-1;-1;-1;-1;Bhubaneswar-Athgarh
1360;8712;sea;8683;4951;779;4932;792;Mahal-Thiladhunmathi #Maldives
#BURMA
9550;9554;river_large;8610;-1;-1;-1;-1;Pagan-Myitche
9588;9590;river_large;8608;5969;1608;-1;-1;Sriksetra-Thayetmyo
9599;9626;river_large;8607;6015;1501;-1;-1;Krapan-Bogale
9633;9626;river_large;8606;5978;1496;-1;-1;Myaungmya-Bogale
9556;9568;river_large;8610;5977;1765;-1;-1;Ava-Sagaing
#KUTCH
1295;3385;sea;1397;4705;1673;4711;1684;Kanthakota-Kasara
#HOLLAND
2113;2112;sea;3229;1182;3290;1181;3283;Bergen op Zoom-Middelberg
2115;2112;sea;3229;1154;3275;1159;3279;Bruges-Middelberg
#EAST AFRICA
12773;12775;sea;12799;3350;423;3344;429;Pate-Kiangwe
12773;12774;sea;12799;3362;429;3365;437;Pate-Kiunga
# JAPAN
10551;10554;sea;12645;7895;2649;7893;2642;Kikuchi-Amakusa
10511;10608;sea;12612;8132;2809;8140;2814;Nagata-Mihara
10595;10608;sea;12612;8153;2847;8152;2838;Akashi-Mihara
10566;10526;sea;12610;7918;2763;7917;2751;Shimonoseki-Kiku
10589;10515;sea;12611;8088;2824;8092;2813;Tsukada-Kiyama
10575;10507;sea;12611;8028;2798;8036;2783;Kamo-Iyo
#SOUTHEAST ASIA
11277;11280;sea;12723;6523;873;6506;852;Indragiri-Lingga
11273;11274;sea;12723;6415;884;6421;885;Siak-Suir
11276;11275;sea;12723;6453;860;6452;868;Boron-Selat Panjang
11274;11275;sea;12723;6436;887;6446;880;Suir-Selat Panjang
# JAPAN - Hokkaido
10792;12819;sea;12659;8573;3499;8578;3518;Hanasaki-Kunasir
12819;12820;sea;12660;8603;3559;8639;3576;Kunasir-Etuworop-sir
# CHINA
11399;11277;sea;12752;6511;918;6518;895;Penawar-Tanjungpinang
12930;9802;sea;12752;6802;1797;6764;1822;Shecheng-Xuwen (Hainan to mainland)
# SOUTHEAST ASIA
11007;11002;sea;12625;7460;1890;7460;1928;Aparri-Calayan
11001;11002;sea;12625;7510;2003;7460;1928;Babuyan-Calayan
11023;11031;sea;12643;7520;1677;7530;1694;Pilila-Pulilu
11032;11028;sea;12644;7666;1667;7652;1658;Katanduan-Ibalon
11033;11026;sea;12661;7545;1636;7555;1643;Malindig-Bondoc
11025;11037;sea;12661;7491;1648;7499;1621;Batangan-Pingamalayan
11040;11036;sea;12661;7510;1584;7545;1581;Bongabong-Donblon
11036;11064;sea;12661;7581;1582;7575;1539;Donblon-Akean
11035;11047;sea;12662;7668;1566;7692;1576;Masbate-Catarman
11036;11035;sea;12661;7590;1580;7624;1579;Donblon-Masbate
11035;11034;sea;12661;7625;1592;7641;1597;Masbate-Ticao
11034;11029;sea;12661;7644;1600;7647;1611;Ticao-Ibat
11030;11047;sea;12662;7677;1603;7685;1594;Sorsogon-Catarman
11049;11051;sea;12664;7752;1525;7735;1523;Borongan-Kankabatok
11052;11065;sea;12664;7755;1484;7777;1480;Baybay-Dinagat
11052;11053;sea;12662;7729;1474;7713;1459;Baybay-Bool
11053;11054;sea;12662;7685;1470;7682;1480;Bool-Sugbu
11055;11059;sea;12662;7647;1463;7638;1478;Siaro-Nabingkalan
11060;11062;sea;12662;7612;1500;7601;1514;Binalbagan-Irong Irong
11082;11056;sea;12663;7651;1400;7654;1423;Tukuran-Katugasan
11056;11055;sea;12663;7654;1429;7646;1444;Katugasan-Siaro
11084;11085;sea;12668;7570;1318;7573;1302;Bolong-Matangal
11085;11086;sea;12672;7556;1293;7529;1270;Matangal-Sulug
11086;11088;sea;12672;7489;1256;7458;1225;Sulug-Tawi Tawi
11043;11041;sea;12628;7400;1514;7420;1538;Taytay-Jamayan
11042;11041;sea;12670;7472;1528;7443;1552;Cuyo-Jamayan
11045;11046;sea;12671;7287;1370;7279;1319;Palawan-Balabac
11046;11161;sea;12671;7279;1314;7278;1284;Balabac-Marudu
11041;11039;sea;12670;7442;1558;7470;1593;Jamayan-Dongon
11088;11158;sea;12674;7436;1209;7394;1221;Tawi Tawi-Lahad Datu
11065;11067;sea;12640;7787;1464;7785;1457;Dinagat-Surigao
11066;11067;sea;12640;7808;1451;7807;1439;Siargo-Surigao
11050;11051;sea;12662;7711;1541;7713;1531;Panamao-Kankabatok
11214;11213;sea;12679;7778;1096;7765;1078;Sangihe-Wenang
11197;11198;sea;12685;7566;945;7572;922;Togian-Tojo
11193;11194;sea;12688;7640;911;7643;922;Balantak-Banggai
11187;11186;sea;12989;7631;778;7621;776;Wowoni-Kendari
11189;11186;sea;12689;7625;746;7621;759;Goram-Kendari
11190;11191;sea;12690;7618;711;7614;716;Bhauu-Muna
11190;11188;sea;12690;7645;713;7660;712;Bhauu-Tukangbesi
11185;11192;sea;12701;7570;730;7574;720;Polean-Kabaena
11192;11191;sea;12690;7582;708;7598;708;Kabaena-Muna
11216;11193;sea;12687;7710;886;7680;876;Sula-Banggai
11217;11216;sea;12684;7817;833;7801;866;Buru-Sula
11217;11218;sea;12684;7860;820;7902;833;Buru-Ambwan
11223;11224;sea;12684;7901;926;7903;951;Obi-Bacan
11224;11225;sea;12680;7905;957;7915;964;Bacan-Weda
11378;11377;sea;12696;8064;614;8003;607;Tanimbar-Barayat Daya
11377;11376;sea;12694;7985;606;7849;602;Barayat Daya-Wetar
11376;11388;sea;12694;7821;590;7808;561;Wetar-Dili
11388;11375;sea;12699;7764;549;7744;560;Dili-Alor
11383;11382;sea;12698;7701;449;7691;440;Kupang-Roti
11381;11380;sea;12700;7595;428;7531;443;Sawu-Melolo
11375;11374;sea;12699;7720;557;7716;557;Alor-Galiyao
11374;11373;sea;12699;7699;556;7693;558;Galiyao-Lembata
11373;11372;sea;12699;7662;545;7647;542;Lembata-Larantuka
11369;11370;sea;12705;7434;515;7464;513;Bima-Bajo
11368;11367;sea;12744;7305;503;7290;509;Taliwang-Lombok
11367;11366;sea;12744;7262;508;7229;509;Lombok-Bedulu
11364;11359;sea;12744;7180;513;7164;506;Jembrana-Blambangan
11363;11362;sea;12711;7206;596;7156;578;Kangean-Sumenep
11361;11354;sea;12719;7085;563;7073;550;Sampang-Hujung Galuh
11348;11346;sea;12715;6977;573;6969;576;Lwaram-Keling
11326;11308;sea;12741;6692;570;6677;579;Banten-Palas Pasemah
11324;11323;sea;12721;6757;752;6709;745;Belitung-Bangka
11323;11304;sea;12717;6685;723;6672;704;Bangka-Rawa Timur
11322;11303;sea;12722;6618;752;6616;738;Kota Kapur-Baros
11279;11295;sea;12723;6556;813;6554;789;Kampe-Votabura
11279;11278;sea;12723;6558;823;6566;835;Kampe-Lingga
11278;11277;sea;12723;6557;851;6549;887;Lingga-Tanjungpinang
11136;11137;sea;12710;7249;782;7244;789;Laut-Kaburu
1468;11248;sea;8687;5872;1225;5874;1246;Onge-Marakele
9676;12849;sea;12850;5930;1117;5946;1096;Muot-Nakkavaram
11251;11252;sea;12739;6173;864;6167;888;Nias-Simeulue
12823;12824;sea;12739;6247;768;6265;747;Batu-Siberut
12824;12825;sea;12740;6291;711;6318;694;Siberut-Sipura
#Rivers in East Asia
10916;10913;river_large;12513;-1;-1;-1;-1;Thanh Phu-Soc Trang
10811;10809;river_large;12515;-1;-1;-1;-1;Angkor Borey-Vyadhapura
10815;10814;river_large;12516;-1;-1;-1;-1;-1;Chaturmukah-Hanchei
10814;10808;river_large;12525;-1;-1;-1;-1;-1;Hanchei-Indrapura
10804;10805;river_large;12528;-1;-1;-1;-1;-1;Sambhupura-Stung Treng
10817;11440;river_large;12529;-1;-1;-1;-1;-1;Lingapura-Sanasomboon
10817;10940;river_large;12530;-1;-1;-1;-1;-1;Lingapura-Mae Hae Song
10943;10957;river_large;12532;-1;-1;-1;-1;-1;Surin-Maha Sarakan
11442;10937;river_large;12533;-1;-1;-1;-1;-1;Bhimapura-Nakhon Ratchasima
10816;10932;river_large;12518;-1;-1;-1;-1;-1;Angkor-Battambang
8892;8923;river_large;12546;-1;-1;-1;-1;-1;Xinhui-Yining
8924;8922;river_large;12547;-1;-1;-1;-1;-1;Yongshun-Duanxi
10278;10274;river_large;12548;-1;-1;-1;-1;-1;Ducheng-Cangwu
8869;10370;river_large;10464;-1;-1;-1;-1;-1;Haian-Changshu
8933;12950;river_large;10464;-1;-1;-1;-1;-1;Hailing-Dantu
8935;10331;river_large;10456;-1;-1;-1;-1;-1;Qingliu-Dangtu
8939;10339;river_large;10456;-1;-1;-1;-1;-1;Qingyang-Lujiang East
8943;10374;river_large;10457;-1;-1;-1;-1;-1;Pengze-Susong
13014;10394;river_large;10458;-1;-1;-1;-1;-1;Xunyang-Qichun Southwest
13014;8986;river_large;10458;-1;-1;-1;-1;-1;Hukou-Hanyin
13012;12995;river_large;10458;-1;-1;-1;-1;-1;Jiangxia-Huanggang
10395;8973;river_large;10459;-1;-1;-1;-1;-1;Baling-Jianli
8978;10397;river_large;10459;-1;-1;-1;-1;-1;Jianli-Huarong
10029;12984;river_large;10460;-1;-1;-1;-1;-1;An-Dangyang
10029;10323;river_large;10460;-1;-1;-1;-1;-1;Jianli-Huarong
10024;13008;river_large;10461;-1;-1;-1;-1;-1;Zhijiang-Gong'an
10302;8862;river_large;11933;-1;-1;-1;-1;-1;Bohai-Linzi
8876;8873;river_large;11933;-1;-1;-1;-1;-1;Linyi-Dihe
10417;8877;river_large;11933;-1;-1;-1;-1;-1;Pingyuan-Yucheng
8884;10362;river_large;11935;-1;-1;-1;-1;-1;Laocheng-Shouzhang
8886;10357;river_large;11936;-1;-1;-1;-1;-1;Puyang-Guixiang
13033;10159;river_large;11938;-1;-1;-1;-1;-1;Baima-Ji
9780;10405;river_large;11939;-1;-1;-1;-1;-1;Luoyang-Wangwu
10309;10259;river_large;11940;-1;-1;-1;-1;-1;Xia-Xia
12460;12461;river_large;11915;-1;-1;-1;-1;-1;Nurgan-Chlya
12460;12465;river_large;11915;-1;-1;-1;-1;-1;Nurgan-Chagal
12457;12466;river_large;11916;-1;-1;-1;-1;-1;Silbaki-Pilda
11883;12467;river_large;11916;-1;-1;-1;-1;-1;Beihean-Kerin
11881;12479;river_large;11917;-1;-1;-1;-1;-1;Molihewen-Bolon
11877;12482;river_large;11917;-1;-1;-1;-1;-1;Boli-Kuru
11864;11695;river_large;11925;-1;-1;-1;-1;-1;Dacun-Dazhou
11858;11694;river_large;11925;-1;-1;-1;-1;-1;Baihuaicun-Helincun
11816;11696;river_large;11926;-1;-1;-1;-1;-1;Delizhen-Dahedu
11814;11700;river_large;11927;-1;-1;-1;-1;-1;Gaozhou-Erliuyu
11812;11662;river_large;11928;-1;-1;-1;-1;-1;Ningjiang-Heyucun

#Okinawa
12814;12459;sea;12575;8226;3972;8215;3961;Pogobi-Ekiti
10647;10643;sea;12633;7749;2227;7801;2287;Hokomazu-Amami
# Japan
10536;10539;sea;12596;7819;2677;7803;2657;Kishima-Jikajima

11397;11398;sea;12723;-1;-1;-1;-1;-1;Tumasik-Johor
-1;-1;;-1;-1;-1;-1;-1;
>>>>>>> 1.18.2
